Title,Author,Genre,Publisher,Year of Publication,ISBN,Description,Language,Image
The Argonauts,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_Argonauts.jpg
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\The_10__Entrepreneur__Live_Your_Startup_Dream_Without_Quitting_Your_Day_Job.jpg
Suddenly in Love (Lake Haven #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Suddenly_in_Love__Lake_Haven__1_.jpg
Something More Than This,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Something_More_Than_This.jpg
Soft Apocalypse,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Soft_Apocalypse.jpg
So You've Been Publicly Shamed,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\So_You_ve_Been_Publicly_Shamed.jpg
Shoe Dog: A Memoir by the Creator of NIKE,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Shoe_Dog__A_Memoir_by_the_Creator_of_NIKE.jpg
"Shobu Samurai, Project Aryoku (#3)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Shobu_Samurai__Project_Aryoku___3_.jpg
Secrets and Lace (Fatal Hearts #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Secrets_and_Lace__Fatal_Hearts__1_.jpg
Scarlett Epstein Hates It Here,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Scarlett_Epstein_Hates_It_Here.jpg
Romero and Juliet: A Tragic Tale of Love and Zombies,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Romero_and_Juliet__A_Tragic_Tale_of_Love_and_Zombies.jpg
Redeeming Love,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Redeeming_Love.jpg
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Poses_for_Artists_Volume_1___Dynamic_and_Sitting_Poses__An_Essential_Reference_for_Figure_Drawing_and_the_Human_Form.jpg
Poems That Make Grown Women Cry,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Poems_That_Make_Grown_Women_Cry.jpg
"Nightingale, Sing",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Nightingale__Sing.jpg
Night Sky with Exit Wounds,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Night_Sky_with_Exit_Wounds.jpg
Mrs. Houdini,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Mrs__Houdini.jpg
Modern Romance,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Modern_Romance.jpg
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Miss_Peregrine_s_Home_for_Peculiar_Children__Miss_Peregrine_s_Peculiar_Children__1_.jpg
Louisa: The Extraordinary Life of Mrs. Adams,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Louisa__The_Extraordinary_Life_of_Mrs__Adams.jpg
Little Red,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Little_Red.jpg
Library of Souls (Miss Peregrine’s Peculiar Children #3),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Library_of_Souls__Miss_Peregrine_s_Peculiar_Children__3_.jpg
Large Print Heart of the Pride,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Large_Print_Heart_of_the_Pride.jpg
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\I_Had_a_Nice_Time_And_Other_Lies_____How_to_find_love___sh_t_like_that.jpg
Hollow City (Miss Peregrine’s Peculiar Children #2),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Hollow_City__Miss_Peregrine_s_Peculiar_Children__2_.jpg
Grumbles,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Grumbles.jpg
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Full_Moon_over_Noah_s_Ark__An_Odyssey_to_Mount_Ararat_and_Beyond.jpg
Frostbite (Vampire Academy #2),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Frostbite__Vampire_Academy__2_.jpg
Follow You Home,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Follow_You_Home.jpg
First Steps for New Christians (Print Edition),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\First_Steps_for_New_Christians__Print_Edition_.jpg
Finders Keepers (Bill Hodges Trilogy #2),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Finders_Keepers__Bill_Hodges_Trilogy__2_.jpg
"Fables, Vol. 1: Legends in Exile (Fables #1)",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Fables__Vol__1__Legends_in_Exile__Fables__1_.jpg
Eureka Trivia 6.0,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Eureka_Trivia_6_0.jpg
Drive: The Surprising Truth About What Motivates Us,Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Drive__The_Surprising_Truth_About_What_Motivates_Us.jpg
Done Rubbed Out (Reightman & Bailey #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Done_Rubbed_Out__Reightman___Bailey__1_.jpg
Doing It Over (Most Likely To #1),Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Doing_It_Over__Most_Likely_To__1_.jpg
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",Unknown,Unknown,Unknown,Unknown,Unknown,None,English,images\Deliciously_Ella_Every_Day__Quick_and_Easy_Recipes_for_Gluten_Free_Snacks__Packed_Lunches__and_Simple_Meals.jpg
